Rank,Word,PoS,Collins,knowTag,,Definition,Tag,3151
5334,notably,r,2,,,adv. 显著地；尤其,toefl,
5335,usual,r,4,,重复,adj. 通常的，惯例的；平常的,cet4 cet6 ky ielts zk gk,
5336,halt,v,3,,重复,vi. 停止；踌躇，犹豫；立定,cet4 cet6 ky toefl ielts,
5337,persistent,j,2,,,adj. 固执的，坚持的；持久稳固的,cet6 toefl,
5338,correlate,v,1,,重复,vi. 关联,cet6 ky toefl ielts,
5339,humanitarian,j,2,,,adj. 人道主义的；博爱的；基督凡人论的,cet6 toefl,
5340,update,n,2,2,重复,vt. 更新；校正，修正；使现代化,cet6 ky ielts,
5341,exile,n,3,,重复,n. 流放，充军；流犯；放逐，被放逐者,cet6 ky toefl ielts,
5342,roar,v,2,,重复,n. 吼；咆哮；轰鸣,cet4 cet6 ky toefl ielts,
5343,torture,n,3,,重复,vt. 折磨；拷问；歪曲,cet4 cet6 ky ielts,
5344,architectural,j,,1,,adj. 建筑学的；建筑上的；符合建筑法的,toefl,
5345,chorus,n,2,,,n. 合唱队；齐声；歌舞队,cet6 ky toefl ielts gk,
5346,fountain,n,2,,,n. 喷泉，泉水；源泉,cet4 cet6 ky toefl ielts gk,
5347,revive,v,2,,,vi. 苏醒；复兴；复活；恢复精神,cet6 ky toefl ielts,
5348,endangered,j,,,,adj. 有生命危险的；濒临灭绝的,toefl,
5349,comic,j,2,,重复,adj. 喜剧的；有趣的；滑稽的,ky toefl ielts,
5350,reside,v,1,,,vt. 属于；住，居住,cet6 toefl,
5351,revenge,n,2,,,n. 复仇；报复,cet4 cet6 ky ielts,
5352,unclear,j,2,1,,adj. 不清楚的；不易了解的,,
5353,sour,j,2,2,重复,adj. 酸的；酸臭的；讨厌的；刺耳的；发酵的,cet4 cet6 ky toefl ielts zk gk,
5354,caution,n,2,,重复,n. 小心，谨慎；警告，警示,cet6 ky toefl ielts gk,
5355,originate,v,2,,,vt. 引起；创作,cet4 cet6 ky toefl ielts,
5356,empirical,j,1,,,adj. 经验主义的，完全根据经验的,cet6 ky ielts,
5357,lure,v,2,,重复,n. 诱惑物；诱惑；饵,ky toefl ielts,
5358,compile,v,2,1,,vt. 编译；编辑；汇编；编制,cet4 cet6 ky toefl ielts,
5359,nationally,r,,,,adv. 以国民立场地；全国性地；举国一致地,,
5360,erupt,v,2,,,vi. 爆发；喷出；发疹；长牙,cet6 ky toefl ielts gk,
5361,graphic,n,2,1,重复,adj. 图表的；形象的；绘画似的,ky toefl ielts,
5362,loom,v,2,,重复,n. 织布机；若隐若现的景象,ky toefl ielts,
5363,witch,n,2,,,n. 巫婆，女巫,ky,
5364,endorsement,n,,,,n. 背书；认可，支持；签注（文件）,,
5365,notable,j,2,,,adj. 值得注意的，显著的；著名的,cet6 ky toefl ielts,
5366,dusty,j,1,,,adj. 落满灰尘的,gk,
5367,glow,v,2,,重复,vi. 发热；洋溢；绚丽夺目,cet4 cet6 ky ielts,
5368,trip,v,4,,重复,vi. 绊倒；犯错误；远足；轻快地走,toefl ielts zk gk,
5369,cane,n,2,,,n. 藤条；手杖；细长的茎,cet6 ielts,
5370,fortunate,j,2,1,,adj. 幸运的；侥幸的；带来幸运的；吉祥的,cet4 cet6 ky toefl gk,
5371,least,d,5,1,重复,adj. 最小的；最少的（little的最高级）,cet4 cet6 ky ielts zk gk,
5372,forge,v,2,,,n. 熔炉，锻铁炉；铁工厂,cet6 ky toefl ielts,
5373,export,v,4,2,重复,n. 输出，出口；出口商品,cet4 ky ielts gk,
5374,disrupt,v,2,,,vt. 使分裂；使瓦解；使中断；使陷于混乱；破坏,cet6 ky toefl ielts,
5375,commerce,n,3,,,n. 贸易，商业,cet4 cet6 ky toefl,
5376,aging,j,,,重复,n. 老化；陈化，熟化,,
5377,rap,n,2,,重复,vt. 抢走；轻敲；敲击致使；使着迷,cet6 ky toefl,
5378,surgical,j,2,,,adj. 外科的；手术上的,,
5379,breakthrough,n,,,,n. 突破；突破性进展,ielts gk,
5380,specialized,j,2,,,adj. 专门的；专业的,toefl,
5381,established,j,2,,,adj. 已制定的，已建立的；确定的,,
5382,lobbyist,n,,,,n. 说客；活动议案通过者,,
5383,desirable,j,2,,,adj. 值得要的；令人满意的,cet4 cet6 ky toefl ielts,
5384,slim,j,3,,重复,adj. 苗条的；修长的；无价值的,cet6 ky toefl ielts gk,
5385,remains,n,,,,n. 残余；遗骸,cet4 cet6 ky,
5386,allege,v,4,,,vt. 宣称，断言；提出…作为理由,cet6 ky toefl ielts,
5387,grip,v,3,,重复,n. 紧握；柄；支配；握拍方式；拍柄绷带；vt. 紧握；夹紧；vi. 抓住,cet4 cet6 ky toefl ielts,
5388,alert,v,3,1,重复,vt. 使警觉，使意识到；警告,cet4 cet6 ky toefl,
5389,rear,n,3,,重复,vt. 培养；树立；栽种,cet4 cet6 ky toefl ielts,
5390,attain,v,1,,,vt. 达到，实现；获得；到达,cet4 cet6 ky toefl ielts gk,
5391,countryside,n,3,,,n. 农村，乡下；乡下的全体居民,ielts zk gk,
5392,hut,n,2,,,n. 小屋；临时营房,cet4 cet6 ky,
5393,sixteen,m,5,,,adj. 十六的，十六个的,zk gk,
5394,couple,v,4,1,重复,n. 数个；对；夫妇,cet4 ky toefl zk gk,
5395,holding,n,2,,重复,n. 支持；举办,,
5396,excite,v,2,1,,vt. 刺激…，使…兴奋；激起,cet4 cet6 ky toefl zk gk,
5397,dinosaur,n,2,,,n. [俚]过时、落伍的人或事物；恐龙,toefl gk,
5398,choir,n,2,,,n. 合唱队；唱诗班；舞蹈队,ielts gk,
5399,comfort,v,3,,重复,n. 安慰；舒适；安慰者,cet4 cet6 ky gk,
5400,title,v,4,1,重复,n. 标题；头衔；冠军；权利；字幕,cet4 cet6 ky toefl ielts gk,
5401,urgent,j,3,,,adj. 紧急的；急迫的,cet4 cet6 ky toefl gk,
5402,pronounce,v,2,,,vt. 发音；断言；宣判,cet4 cet6 ky zk gk,
5403,banner,n,2,,,n. 旗帜，横幅；标语,cet4 ky toefl ielts,
5404,rising,j,,1,重复,n. 上升；起床；造反,ielts,
5405,insider,n,2,,,n. 熟悉内情者；内部的人，会员,,
5406,reform,v,4,,重复,n. 改革，改良；改正,cet4 cet6 ky toefl ielts gk,
5407,confine,v,2,,,n. 界限，边界,cet4 cet6 ky toefl ielts,
5408,assertion,n,,1,,n. 断言，声明；主张，要求；坚持,,
5409,burst,n,3,,重复,vi. 爆炸；爆发，突发,cet4 cet6 ky toefl gk,
5410,underground,j,3,1,重复,adv. 在地下；秘密地,toefl ielts zk gk,
5411,orthodox,j,2,,,adj. 正统的；惯常的；传统的,cet6 ky ielts,
5412,register,n,3,1,重复,vt. 记录；注册；登记；把…挂号；挂号邮寄；正式提出,cet4 cet6 ky toefl ielts gk,
5413,payroll,n,1,,,n. 工资单,,
5414,odor,n,,,,n. 气味；名声,cet6 ky toefl,
5415,outbreak,n,2,,,n. （疾病的）发作；（战争的）爆发,cet6 ky toefl ielts,
5416,grim,j,2,,,adj. 冷酷的；残忍的；糟糕的,cet6 ky toefl ielts,
5417,winning,j,3,1,,adj. 胜利的；获胜的,,
5418,strand,n,2,,重复,n. 海滨；线；串,toefl,
5419,freshly,r,,,,adv. 新近；精神饱满地,toefl,
5420,profitable,j,2,,,adj. 有利可图的；有益的；赚钱的,cet4 cet6 ky,
5421,orchestra,n,2,,,n. 管弦乐队；乐队演奏处,cet4 cet6 ky toefl ielts,
5422,novel,j,4,,重复,adj. 新奇的；异常的,cet4 cet6 ky toefl ielts gk,
5423,drought,n,2,,,n. 干旱；缺乏,cet4 cet6 ky toefl ielts,
5424,bead,n,1,,重复,n. 珠子；念珠；滴,cet6 toefl ielts,
5425,uphold,v,2,,,vt. 赞成；支撑；鼓励；举起,cet6 ky toefl ielts,
5426,commentator,n,3,,,n. 评论员，解说员；实况播音员；时事评论者,toefl,
5427,leap,n,3,,重复,vi. 跳，跳跃,cet4 cet6 ky toefl ielts,
5428,blame,n,4,,重复,vt. 责备；归咎于,cet4 cet6 ky toefl ielts gk,
5429,tape,v,4,,重复,n. 磁带；带子；卷尺；胶带,cet4 cet6 ky toefl ielts zk gk,
5430,sweat,v,2,,重复,vt. 流出；使出汗；使干苦活；剥削；藉出汗减轻；焦急地期待,cet4 cet6 ky toefl gk,
5431,believer,n,1,1,,n. 信徒；相信...者,toefl,
5432,hazardous,j,1,,,adj. 冒险的；碰运气的；有危险的,cet6 toefl ielts,
5433,confirmation,n,,1,,n. 确认；证实；批准；证明,cet6 toefl ielts,
5434,wireless,n,1,1,,adj. 无线的；无线电的,cet4 cet6,
5435,merge,v,2,2,,vt. 合并；吞没；使合并,cet6 ky toefl ielts,
5436,proceedings,n,,,,n. 诉讼；会议记录；议程；行动（proceeding的复数形式）,,
5437,shaft,n,2,,,n. 拍杆；轴；箭杆；杆状物；vt. 利用；在……上装杆,cet6 ky toefl ielts,
5438,convenient,j,2,,,adj. 方便的,cet4 cet6 ky toefl ielts gk,
5439,accommodation,n,2,,,n. 调节；住处，膳宿；和解；预订铺位,cet4 cet6 ky ielts gk,
5440,theft,n,2,,,n. 盗窃；偷；[罕]赃物,cet6 ky toefl ielts gk,
5441,frog,n,1,,,n. 青蛙；饰扣；辙叉,cet4 cet6 ky zk gk,
5442,guess,n,4,2,重复,vt. 猜测；推测；猜中；[美口]认为,zk gk,
5443,vanilla,n,,,,n. 香子兰，香草,gk,
5444,grind,v,2,,重复,vt. 磨碎；磨快,cet4 cet6 ky toefl ielts,
5445,elected,j,,,,vt. 选举，推选,,
5446,lone,j,2,1,,adj. 独自的；寂寞的；单身的；人迹稀少的,toefl,
5447,registration,n,2,,,n. 注册；登记；挂号,ielts,
5448,wounded,j,,,,adj. 受伤的,gk,
5449,prescribe,v,2,,,vi. 规定；开药方,cet4 cet6 ky toefl ielts,
5450,courtesy,n,2,,,n. 礼貌；好意；恩惠,cet6 ky ielts,
5451,shotgun,n,1,,,n. 霰弹猎枪,,
5452,subway,n,1,1,,n. 地铁；地道,cet4 cet6 ky toefl,
5453,circulation,n,2,,,n. 流通，传播；循环；发行量,cet6 toefl,
5454,sentence,v,4,,重复,n. 宣判，判决；句子，命题,cet4 cet6 ky toefl zk gk,
5455,transplant,n,2,,重复,vt. 移植；使移居；迁移,cet4 cet6 ky toefl ielts,
5456,explosive,j,2,,,adj. 爆炸的；爆炸性的；爆发性的,cet4 cet6 ky toefl ielts,
5457,congressman,n,2,,,,toefl,
5458,penetrate,v,2,,,vt. 渗透；穿透；洞察,cet4 cet6 ky toefl ielts,
5459,illuminate,v,1,,,vt. 照亮；阐明，说明；使灿烂；用灯装饰,cet6 ky toefl ielts,
5460,venue,n,3,,,n. 审判地；犯罪地点；发生地点；集合地点,toefl,
5461,Nazi,j,,,重复,n. 纳粹党人；纳粹主义信徒,,
5462,parameter,n,1,,,n. 参数；参量；系数,cet6 ky toefl,
5463,canal,n,2,,,n. 运河；水道；灌溉水渠；管道,cet4 cet6 ky toefl ielts gk,
5464,grill,n,2,,重复,vt. 烧，烤；烤问,ielts gk,
5465,unnecessary,j,2,,,adj. 不必要的；多余的，无用的,cet4 cet6,
5466,champagne,n,2,,,n. 香槟酒；香槟酒色,ky ielts,
5467,regression,n,,,,n. 逆行；退化；回归；复原,,
5468,flaw,n,1,,,n. 瑕疵，裂纹；缺点；一阵狂风,cet6 ky toefl ielts,
5469,innocence,n,2,,,n. 清白，无罪；天真无邪,,
5470,attribute,n,2,,重复,n. 属性；特质,cet4 cet6 ky toefl ielts,
5471,evolutionary,j,1,,,adj. 进化的；发展的；渐进的,cet6 toefl,
5472,optimism,n,2,,,n. 乐观；乐观主义,cet6 ielts,
5473,native,n,3,1,重复,adj. 本国的；土著的；与生俱来的；天然的；天赋的,cet4 cet6 ky ielts gk,
5474,skinny,j,1,,,n. [俚]机密情报；内部消息；小道消息,,
5475,posture,n,2,,,n. 姿势；情形；态度,ky toefl ielts,
5476,systematic,j,2,1,,adj. 有系统的；系统的；体系的；分类的,cet4 cet6 ky toefl ielts gk,
5477,demon,n,1,,,n. 魔鬼；精力充沛的人；恶魔；邪恶的事物,,
5478,resulting,j,,,,adj. 作为结果的,,
5479,inclusion,n,,,,n. 包含；内含物,,
5480,rehearsal,n,2,,,n. 排演；预演；练习；叙述；训练,cet4 cet6 ky ielts,
5481,reassure,v,2,,,vt. 使…安心，使消除疑虑,cet6 ky toefl ielts,
5482,great,r,5,1,重复,adj. 伟大的，重大的；极好的，好的；主要的,zk gk,
5483,invoke,v,1,,,vt. 调用；祈求；恳求；引起,toefl,
5484,discard,v,2,,,vt. 丢弃；抛弃；放弃,cet4 cet6 ky toefl ielts,
5485,tub,n,1,,,n. 桶；浴盆,cet4 cet6 ky toefl,
5486,restraint,n,2,,,n. 抑制，克制；约束,cet4 cet6 ky toefl,
5487,prospective,j,2,,,adj. 未来的；预期的,cet6 ky toefl ielts,
5488,revival,n,2,,,n. 复活；复兴；恢复精神；苏醒；再生效,toefl,
5489,correspond,v,2,,,vi. 符合，一致；相应；通信,cet4 cet6 ky toefl ielts gk,
5490,theirs,p,,,,pron. 他们的；她们的；它们的,zk gk,
5491,murderer,n,,1,,n. 凶手；谋杀犯,cet4 cet6,
5492,duration,n,2,,,n. 持续,cet4 cet6 ky toefl ielts,
5493,inside,j,4,1,重复,n. 内部；里面；内脏；内情,cet4 cet6 ky zk gk,
5494,tin,n,2,,,n. 锡；罐头，罐；马口铁,cet4 cet6 ky toefl gk,
5495,abundance,n,1,,,n. 充裕，丰富,cet6 ky toefl ielts,
5496,lime,n,2,,,n. 石灰；酸橙；绿黄色,cet4 cet6,
5497,proposition,n,2,,,n. 命题；提议；议题；[修辞]主题,cet6 ky toefl ielts,
5498,despair,n,2,,重复,n. 绝望；令人绝望的人或事,cet4 cet6 ky ielts,
5499,attendant,n,2,,重复,adj. 伴随的；侍候的,cet6 ky toefl ielts,
5500,ethnicity,n,,,,n. 种族划分,,
5501,fulfill,v,,,,vt. 履行；满足；实现；使结束（等于fulfil）,cet6 ky,
5502,successor,n,2,,,n. 继承者；后续的事物,cet6 ky,
5503,assassination,n,,,,n. 暗杀，行刺,ielts,
5504,atomic,j,2,1,,adj. 原子的，原子能的；微粒子的,cet4 toefl,
5505,geographic,j,,1,,adj. 地理的；地理学的,toefl ielts,
5506,crying,n,,1,,adj. 叫喊的，嚎哭的；显著的,,
5507,portable,j,2,,,adj. 轻便的；手提的，便携式的,cet4 cet6 ky toefl ielts gk,
5508,handling,n,,,,n. 处理,ielts,
5509,zero,n,2,2,重复,n. 零点，零度,ielts zk gk,
5510,strawberry,n,2,,,n. 草莓；草莓色,cet4 cet6 ky zk gk,
5511,holder,n,,,,n. （台、架等）支持物；所有人；持有人；固定器,ky,
5512,guerrilla,n,3,,,n. [古]游击队；游击战,,
5513,clarity,n,1,,,n. 清楚，明晰；透明,ky ielts,
5514,environmentalist,n,2,,,n. 环境论者；研究环境问题的专家；环保人士,,
5515,canyon,n,1,,,n. 峡谷,toefl,
5516,verse,n,2,,,n. 诗，诗篇；韵文；诗节,cet6 ky toefl,
5517,moisture,n,2,,,n. 潮湿；水分；降雨量；湿度,cet4 cet6 ky toefl,
5518,rally,v,3,,重复,vi. 重整；恢复；团结；（网球等）连续对打,cet6 ky toefl ielts,
5519,contradiction,n,2,,,n. 矛盾；反驳；否认,cet4 cet6 ky ielts,
5520,trophy,n,2,,,n. 奖品；战利品；纪念品,,
5521,ironic,j,2,,,adj. 讽刺的；反话的,ky toefl,
5522,rattle,v,2,,重复,vt. 使发出咯咯声；喋喋不休；使慌乱，使惊慌,cet6 toefl,
5523,co-worker,n,,,,,,
5524,parenting,n,1,,,n. 父母对子女的养育,,
5525,gorgeous,j,2,,,adj. 华丽的，灿烂的；极好的,cet6 ky toefl ielts,
5526,shatter,v,1,,,vt. 打碎；破掉；使散开；粉碎；破坏,cet6 ky toefl ielts,
5527,descent,n,1,,,n. 下降；血统；袭击,cet6 ky toefl ielts,
5528,widen,v,2,1,,vt. 放宽,cet4 cet6,
5529,tease,v,2,,,vt. 取笑；梳理；戏弄；欺负；强求；使起毛,cet6 ky toefl ielts gk,
5530,startle,v,2,,,vt. 使吓一跳；使惊奇,cet4 cet6 ky toefl ielts,
5531,import,v,4,2,重复,n. 输入；进口，进口货；意思，含义；重要性,cet4 cet6 ky toefl gk,
5532,gospel,n,2,,,n. 信条；真理,toefl,
5533,prince,n,4,,,n. 王子，国君；亲王；贵族,cet4 cet6 ky,
5534,waiter,n,2,1,,n. 服务员，侍者,cet4 cet6 ky ielts gk,
5535,subject,v,4,1,重复,n. 主题；科目；国民；主语,ielts gk,
5536,vow,v,2,,重复,n. 发誓；誓言；许愿,cet6 ielts,
5537,separately,r,,1,,adv. 分离地；分别地；个别地,cet4 cet6 toefl gk,
5538,precision,n,2,,,n. 精确；精度，精密度,cet4 cet6 ky toefl ielts,
5539,downstairs,r,,,重复,adv. 在楼下,cet4 ky zk gk,
5540,rigid,j,2,,,adj. 严格的；僵硬的，死板的；坚硬的；精确的,cet4 cet6 ky toefl ielts gk,
5541,semester,n,,,,n. 学期；半年,cet4 cet6 ky toefl ielts,
5542,cutting,n,3,1,重复,n. 切断；剪辑；开凿,ielts,
5543,jam,n,2,1,重复,n. 果酱；拥挤；困境；[篮球]扣篮；vt. 使堵塞；挤进，使塞满；混杂；压碎；vi. 堵塞；轧住,cet4 cet6 ky ielts gk,
5544,hometown,n,1,2,,n. 故乡；家乡,zk gk,
5545,reply,n,4,,重复,vi. 回答；回击；答辩,cet4 cet6 ky zk gk,
5546,financially,r,,,,adv. 金融上；财政上,,
5547,statistically,r,,1,,adv. 统计地；统计学上,,
5548,tumble,v,2,,重复,vi. 倒塌；滚动；摔倒；打滚；仓惶地行动,cet4 cet6 ky toefl ielts,
5549,backup,n,1,2,重复,n. 支持；后援；阻塞,,
5550,detector,n,1,,,n. 检测器；侦察器；发现者,cet6 ky,
5551,grid,n,1,1,,n. [计]网格；格子，栅格；输电网,ielts,
5552,psychiatric,j,,,,adj. 精神病学的；精神病治疗的,ielts,
5553,eighteen,m,5,1,,n. 十八，十八个,cet4 ky zk gk,
5554,tax,v,5,1,重复,vt. 向…课税；使负重担,cet4 cet6 ky toefl gk,
5555,mistake,v,4,2,重复,n. 错误；误会；过失,zk gk,
5556,rotate,v,,,,vi. 旋转；循环,cet4 cet6 ky toefl ielts,
5557,recount,v,1,,重复,vt. 叙述；重新计算,toefl,
5558,spotlight,n,2,,重复,n. 聚光灯；反光灯；公众注意的中心,toefl ielts,
5559,push,n,4,2,重复,vt. 推动；推行；逼迫；增加,zk gk,
5560,settler,n,2,,,n. 移居者；殖民者,gk,
5561,reason,v,5,2,重复,n. 理由；理性；动机,toefl ielts zk gk,
5562,narrow,v,4,1,重复,adj. 狭窄的，有限的；度量小的；精密的；勉强的,cet4 cet6 ky toefl gk,
5563,lean,j,3,1,重复,vi. 倾斜；倚靠；倾向；依赖,cet4 cet6 ky toefl,
5564,magnificent,j,2,,,adj. 壮丽的；华丽的；高尚的；宏伟的,cet4 cet6 ky toefl ielts,
5565,polite,j,2,1,,adj. 有礼貌的，客气的；文雅的；上流的；优雅的,zk gk,
5566,contrary,n,2,,重复,adj. 相反的；对立的,cet4 cet6 ky toefl gk,
5567,long,v,2,2,重复,n. 长时间；长音节,toefl zk gk,
5568,scrape,v,2,,重复,n. 刮掉；擦痕；困境；刮擦声,cet4 cet6 ky toefl ielts,
5569,optical,j,1,,,adj. 光学的；眼睛的，视觉的,cet4 cet6 ky toefl ielts,
5570,fourteen,m,5,1,,num. 十四,zk gk,
5571,ambulance,n,2,,,n. 救护车；战时流动医院,cet4 ky ielts gk,
5572,superintendent,n,2,,,n. 负责人；主管；监督人；指挥者,toefl,
5573,bump,n,2,,重复,n. 肿块，隆起物；撞击,cet6 ky toefl ielts,
5574,prey,n,2,,重复,vi. 捕食；掠夺；折磨,cet6 ky toefl ielts,
5575,dead,r,4,2,重复,adj. 无生命的；废弃了的；呆板的,toefl zk gk,
5576,sadness,n,,,,n. 悲哀,cet4 cet6 gk,
5577,enthusiastic,j,2,,,adj. 热心的；热情的；狂热的,cet4 cet6 ky ielts gk,
5578,peculiar,j,2,,,adj. 特殊的；罕见的；奇怪的；独特的,cet4 cet6 ky toefl ielts,
5579,editorial,n,3,,重复,adj. 社论的；编辑的,cet4 cet6 ky ielts,
5580,audit,n,2,1,重复,vi. 查帐；审计,ky toefl ielts,
5581,supporting,j,,,,adj. 次要的；支持的；辅助性的,,
5582,continually,r,,,,adv. 频繁地；不断地,toefl,
5583,modem,n,,,,n. 调制解调器（等于modulator-demodulator）,toefl gk,
5584,firefighter,n,,,,,gk,
5585,supper,n,2,,,n. 晚餐，晚饭,zk gk,
5586,applicant,n,2,,,n. 申请人，申请者；请求者,cet4 toefl ielts gk,
5587,sample,v,3,1,重复,vt. 取样；抽样检查；尝试,cet4 cet6 ky toefl ielts,
5588,Egyptian,j,,,重复,adj. 埃及的；埃及人的,cet6 ielts gk,
5589,absent,j,2,,重复,adj. 缺席的；缺少的；心不在焉的；茫然的,cet4 cet6 ky toefl zk gk,
5590,salvation,n,2,,,n. 救助；拯救,cet6 ky,
5591,namely,r,2,,,adv. 即是；也就是；换句话说,cet4 cet6 ky ielts,
5592,injured,j,3,,,adj. 受伤的；受损害的,,
5593,conceptual,j,1,,,adj. 概念上的,toefl,
5594,equivalent,j,3,,重复,adj. 等价的，相等的；同意义的,cet4 cet6 ky toefl ielts,
5595,visa,n,2,,,n. 签证,cet6 ky ielts gk,
5596,highlight,n,3,1,重复,vt. 强调；突出；使显著；加亮,cet4 cet6 ky toefl ielts,
5597,try,n,5,1,重复,vt. 试验；审判；考验；试图，努力,zk gk,
5598,renew,v,3,,,vt. 使更新；复兴；重申；续借,cet4 cet6 ky toefl,
5599,overhead,r,2,,重复,adv. 在头顶上；在空中；在高处,cet4 cet6 ky ielts gk,
5600,peach,n,2,,,n. 桃子；桃树；桃红色；[美俚]受人喜欢的人（或物）,cet4 cet6 ky gk,
5601,modification,n,,,,n. 修改，修正；改变,cet6,
5602,goose,n,2,,,n. 鹅；雌鹅；鹅肉；傻瓜,cet4 cet6 ky zk gk,
5603,fireplace,n,1,1,,n. 壁炉,cet6 ky gk,
5604,Caribbean,j,,,,adj. 加勒比人的；加勒比海的；加勒比语的,,
5605,nurture,v,2,,重复,vt. 养育；鼓励；培植,cet6 ky toefl ielts,
5606,keyboard,n,2,1,,n. 键盘,cet4 cet6 ky toefl zk gk,
5607,lobby,v,3,,重复,n. 大厅；休息室；会客室；游说议员的团体,cet6 ky toefl ielts,
5608,formally,r,,,,adv. 正式地；形式上,,
5609,vivid,j,2,,,adj. 鲜明的；鲜艳的；生动的,cet4 cet6 ky toefl ielts gk,
5610,reserve,j,4,,重复,n. 储备，储存；预备队；储备金；自然保护区,cet4 cet6 ky toefl ielts gk,
5611,frighten,v,2,1,,vt. 使惊吓；吓唬…,cet4 cet6 ky gk,
5612,frightening,j,,1,,adj. 令人恐惧的；引起突然惊恐的,toefl,
5613,furious,j,2,,,adj. 狂怒的；激烈的；热烈兴奋的；喧闹的,cet4 cet6 ky toefl ielts,
5614,poison,n,2,,重复,vt. 使中毒，放毒于；败坏；污染；阻碍,cet4 cet6 ky toefl gk,
5615,repeated,j,2,,,adj. 再三的，反复的,,
5616,daddy,n,2,1,,n. [口]爸爸,,
5617,ruler,n,2,,,n. 尺；划线板，划线的人；统治者,cet4 cet6 ky zk gk,
5618,undoubtedly,r,,1,,adv. 确实地，无庸置疑地,cet4 cet6 ky toefl ielts,
5619,rocky,j,1,1,,adj. 岩石的，多岩石的；坚如岩石的；摇晃的；头晕目眩的,toefl,
5620,amount,v,4,1,重复,vi. 总计，合计；共计；相当于；产生…结果,cet4 ky toefl ielts gk,
5621,concrete,n,3,,重复,adj. 实在的，具体的；有形的；混凝土的,cet4 cet6 ky toefl ielts gk,
5622,tenant,n,2,,,n. 房客；承租人；佃户；居住者,cet4 cet6 ky toefl,
5623,total,v,5,2,重复,adj. 全部的；整个的；完全的,cet4 cet6 ky ielts zk gk,
5624,omit,v,2,,,vt. 省略；遗漏；删除；疏忽,cet4 cet6 ky toefl ielts,
5625,round,r,2,,重复,n. 圆形物；一回合；圆；循环,zk gk,
5626,grade,v,3,1,重复,n. 等级；年级；阶段；级别；成绩,ielts zk gk,
5627,spider,n,2,1,,n. 蜘蛛；设圈套者；三脚架,cet4 cet6 ky toefl ielts,
5628,obsession,n,2,,,n. 困扰；强迫观念；痴迷,cet6 ky toefl ielts,
5629,corpse,n,2,,,n. 尸体,toefl ielts,
5630,damp,j,2,,,vt. 使潮湿；使沮丧，抑制；使阻尼,cet4 cet6 ky toefl ielts gk,
5631,Turkish,j,,,,adj. 土耳其人的，土耳其语的；土耳其的；突厥诸语言的,,
5632,problematic,j,1,1,,adj. 问题的；有疑问的；不确定的,,
5633,certainty,n,2,1,,n. 确实；必然；确实的事情,cet4 cet6 ky ielts,
5634,unidentified,j,3,,,adj. 未经确认的；未辨别出的，身分不明的,,
5635,nutrition,n,2,,,n. 营养，营养学；营养品,cet6 ky toefl ielts gk,
5636,melody,n,2,,,n. 旋律；歌曲；美妙的音乐,cet6 ky toefl ielts,
5637,electron,n,2,1,,n. 电子,cet4 cet6 ky toefl,
5638,physicist,n,2,1,,n. 物理学家；唯物论者,cet4 cet6 ky toefl gk,
5639,distinguished,j,2,,,adj. 著名的；高贵的；卓著的,toefl,
5640,vocabulary,n,1,1,,n. 词汇；词表,cet4 cet6 ky ielts gk,
5641,maple,n,1,,,n. 枫树；淡棕色,cet6 gk,
5642,wool,n,2,1,,n. 羊毛；毛线；绒线；毛织品；毛料衣物,cet4 cet6 ky toefl,
5643,salesman,n,2,1,,n. 推销员；售货员,cet4 cet6 ky gk,
5644,memoir,n,1,,,n. 自传；实录；回忆录；研究报告,,
5645,damn,v,2,,重复,vt. 谴责；罚…下地狱,cet6 ky,
5646,utterly,r,2,,,adv. 完全地；绝对地；全然地；彻底地，十足地,toefl ielts,
5647,cultivate,v,2,,,vt. 培养；耕作；陶冶,cet4 cet6 ky toefl ielts,
5648,microphone,n,2,1,,n. 扩音器，麦克风,cet4 cet6 ky ielts,
5649,cherry,n,2,1,,n. 樱桃；樱桃树；如樱桃的鲜红色；[俚，鄙]处女膜，处女,cet4 ky,
5650,luxury,j,3,,重复,n. 奢侈，奢华；奢侈品；享受,cet4 cet6 ky toefl ielts,
5651,summarize,v,1,,,vt. 总结；概述,cet4 cet6 ky,
5652,meadow,n,1,,,n. 草地；牧场,cet4 cet6 ky ielts,
5653,goodbye,u,2,2,,int. 再见,zk,
5654,disposal,n,2,,,n. 清理；处理；支配；安排,cet4 cet6 ky toefl ielts,
5655,magical,j,2,1,,adj. 魔术的；有魔力的,toefl,
5656,accordingly,r,2,,,adv. 因此，于是；相应地；照著,cet4 cet6 ky,
5657,defy,v,2,,,vt. 藐视；公然反抗；挑衅；使落空,cet6 ky toefl ielts,
5658,stack,v,2,,重复,n. 堆；堆叠,cet4 cet6 ky toefl ielts,
5659,plug,v,2,,重复,n. 栓；插头；塞子,cet4 cet6 ky ielts gk,
5660,mining,n,2,2,,n. 矿业；采矿,ielts,
5661,wallet,n,1,1,,n. 钱包，皮夹,cet4 cet6 ky gk,
5662,socialist,j,3,1,重复,n. 社会主义者；社会党党员,cet4 cet6 gk,
5663,lamb,n,2,,,n. 羔羊，小羊；羔羊肉,cet4 cet6 ky ielts zk gk,
5664,scrap,n,2,,重复,n. 残余物；碎片；打架；少量,cet6 ky toefl ielts,
5665,tempt,v,1,,,vt. 诱惑；引起；冒…的风险；使感兴趣,cet4 cet6 ky toefl,
5666,fundamentally,r,,1,,adv. 根本地，从根本上；基础地,,
